#Automatically generated from schematic
# all junction/storage nodes
schematic.max=	190.0,	70.0
schematic.min=	114.0,	24.0
schematic.size=	4000.0,	2000.0
Label		Symbol			X1		Y1
1		storage 		118.8		63.9		
10		storage 		134.0		54.4		
100		junction		132.0		46.0		
106		junction		125.0		58.0		
11		storage 		139.6		40.0		
118		junction		122.0		56.0		
12		storage 		133.0		34.0		
120		junction		122.0		55.0		
121		junction		126.0		52.0		
123		junction		127.0		52.0		
125		junction		127.0		52.0		
126		junction		122.0		57.0		
128		junction		122.0		54.0		
137		junction		128.0		51.0		
15		storage 		128.0		32.0		
150		junction		128.0		50.0		
151		junction		124.0		52.0		
152		junction		127.0		56.0		
153		junction		125.0		58.0		
154		junction		128.0		51.0		
155		junction		141.0		47.0		
156		junction		145.0		48.0		
157		junction		128.0		59.4		
158		junction		119.0		45.0		
159		junction		145.0		50.0		
16		storage 		134.0		51.7		
17		junction		127.9		64.5		
18		storage 		152.0		52.4		
20		storage 		145.0		52.0		
25		storage 		167.6		44.8		
27		storage 		172.8		41.8		
28		storage 		167.6		31.4		
29		storage 		167.6		27.0		
3		storage 		121.0		64.3		
30		junction		122.0		52.0		
31		junction		123.0		52.0		
32		junction		127.0		57.0		
35		junction		126.0		58.0		
36		junction		123.0		56.7		
37		junction		125.0		56.7		
38		junction		123.5		58.0		
39		junction		126.0		55.0		
4		storage 		123.0		63.0		
40		junction		120.0		62.0		
41		junction		128.0		57.0		
42		junction		125.0		55.0		
43		junction		125.0		52.0		
44		junction		128.0		52.0		
47		junction		123.4		46.4		
48		junction		126.0		63.9		
49		junction		125.0		54.0		
5		storage 		122.0		64.2		
50		junction		130.4		52.0		
503		junction		128.0		49.0		
507		junction		122.2		45.7		
508		junction		121.0		45.0		
509		junction		121.0		45.0		
511		junction		126.0		48.0		
513		junction		126.0		47.0		
514		junction		126.0		46.0		
515		junction		126.0		44.0		
517		junction		130.0		46.0		
52		storage 		149.0		52.3		
521		junction		128.0		42.0		
522		junction		126.0		40.7		
523		junction		124.1		42.2		
525		junction		123.1		43.1		
528		junction		122.0		44.0		
53		storage 		147.0		49.3		
541		junction		120.0		45.0		
542		junction		118.0		45.0		
549		junction		123.1		41.0		
55		junction		124.9		47.3		
550		junction		123.1		39.0		
57		junction		122.0		41.0		
59		junction		125.0		39.0		
6		storage 		124.9		63.8		
600		junction		137.0		44.0		
601		junction		136.9		45.8		
602		junction		152.0		51.3		
603		junction		152.0		50.1		
604		junction		152.0		49.1		
605		junction		152.0		48.0		
606		junction		152.0		47.0		
607		junction		152.0		46.0		
608		junction		152.0		44.0		
609		junction		152.0		45.2		
61		junction		123.0		52.0		
611		junction		135.1		44.0		
612		junction		133.9		44.0		
613		junction		152.0		41.0		
614		junction		151.0		41.0		
615		junction		150.0		41.0		
616		junction		132.0		44.1		
617		junction		141.0		48.0		
618		junction		134.0		50.4		
619		junction		149.0		44.0		
62		junction		122.0		60.0		
622		junction		149.0		51.0		
623		junction		134.0		45.0		
624		junction		149.0		49.8		
626		junction		149.0		48.7		
627		junction		143.9		44.0		
628		junction		149.0		47.5		
632		junction		147.0		47.8		
634		junction		147.0		46.8		
635		junction		140.9		41.0		
636		junction		149.0		46.2		
637		junction		141.9		41.0		
638		junction		143.2		41.0		
639		junction		144.7		41.0		
64		junction		128.0		55.0		
640		junction		146.0		41.0		
642		junction		145.0		51.0		
643		junction		145.0		50.0		
644		junction		145.0		49.0		
645		junction		145.0		48.0		
646		junction		145.0		47.0		
647		junction		145.0		46.0		
648		junction		145.0		45.0		
649		junction		145.0		45.0		
651		junction		134.0		49.3		
652		junction		134.0		48.3		
653		junction		134.0		47.2		
654		junction		134.0		46.0		
655		junction		132.9		45.0		
656		junction		141.0		51.0		
657		junction		141.0		50.0		
659		junction		141.0		50.0		
66		junction		122.0		53.0		
660		junction		141.0		49.0		
662		junction		141.0		48.0		
663		junction		141.0		46.0		
664		junction		141.0		45.0		
665		junction		141.0		45.0		
67		junction		125.0		60.1		
670		junction		134.0		52.9		
672		junction		134.0		47.0		
673		junction		131.4		50.0		
674		junction		131.4		48.0		
675		junction		134.0		45.0		
676		junction		132.9		44.0		
677		junction		135.1		45.8		
678		junction		136.0		45.8		
679		junction		131.1		44.1		
68		junction		123.5		60.0		
680		junction		130.1		44.1		
681		junction		129.2		44.1		
682		junction		128.0		44.1		
683		junction		141.0		44.0		
684		junction		141.0		44.0		
685		junction		140.0		44.0		
686		junction		139.0		44.0		
687		junction		139.0		44.0		
688		junction		138.0		44.0		
689		junction		137.0		44.0		
690		junction		136.0		44.0		
691		junction		148.0		44.0		
692		junction		147.0		44.0		
693		junction		147.0		44.0		
694		junction		146.0		44.0		
695		junction		145.0		44.0		
696		junction		145.0		44.0		
697		junction		143.0		44.0		
698		junction		143.0		44.0		
699		junction		142.0		44.0		
7		storage 		125.0		62.2		
70		junction		124.0		53.6		
700		junction		133.0		39.0		
701		junction		134.0		39.0		
702		junction		135.0		39.0		
703		junction		135.0		39.0		
71		junction		121.0		61.0		
710		junction		137.0		39.0		
711		junction		137.0		40.0		
712		junction		138.0		39.0		
713		junction		138.0		41.0		
714		junction		139.0		41.0		
715		junction		140.0		41.0		
719		junction		137.8		38.0		
72		junction		130.1		59.0		
720		junction		139.0		39.0		
721		junction		141.0		39.0		
722		junction		142.0		39.0		
723		junction		142.0		39.0		
73		junction		122.0		60.0		
730		junction		152.0		44.0		
731		junction		151.3		44.0		
732		junction		150.5		44.0		
733		junction		149.7		44.0		
739		junction		135.0		38.0		
74		junction		122.0		59.1		
740		junction		136.3		37.5		
742		junction		137.3		37.5		
743		junction		138.1		37.5		
744		junction		139.0		37.5		
745		junction		141.0		37.5		
746		junction		142.0		37.5		
747		junction		143.1		37.5		
748		junction		144.0		37.5		
749		junction		145.0		37.5		
75		junction		122.0		58.0		
750		junction		146.9		37.5		
751		junction		147.9		37.5		
752		junction		158.0		35.9		
753		junction		158.8		35.9		
754		junction		140.0		37.5		
755		junction		145.9		37.5		
76		junction		122.0		57.0		
77		junction		122.0		54.0		
8		storage 		127.9		62.7		
800		junction		127.0		35.8		
801		junction		128.0		35.8		
802		junction		128.0		34.0		
803		junction		129.0		35.8		
804		junction		130.0		35.8		
805		junction		131.0		35.8		
806		junction		131.0		37.1		
807		junction		134.1		35.8		
808		junction		134.1		37.5		
81		storage 		141.0		52.0		
814		junction		132.0		35.8		
815		junction		132.0		34.0		
816		junction		133.0		35.8		
817		junction		137.8		35.8		
818		junction		139.1		35.8		
820		junction		140.0		35.8		
821		junction		141.1		35.8		
826		junction		141.9		35.8		
827		junction		142.9		35.8		
828		junction		143.6		35.8		
83		junction		130.1		56.9		
832		junction		144.6		35.8		
833		junction		145.6		35.8		
834		junction		146.9		35.8		
835		junction		148.0		35.8		
836		junction		149.2		35.8		
84		junction		130.1		54.1		
841		junction		150.2		35.8		
842		junction		151.2		35.9		
843		junction		152.0		35.9		
844		junction		152.8		35.9		
845		junction		153.6		35.9		
846		junction		153.6		34.4		
847		junction		153.6		32.9		
848		junction		153.6		31.4		
849		junction		153.6		29.9		
85		junction		128.0		56.0		
850		junction		154.8		35.9		
851		junction		155.6		35.9		
852		junction		156.4		35.9		
853		junction		157.2		35.9		
855		junction		159.6		35.9		
856		junction		160.4		35.9		
857		junction		161.2		35.9		
858		junction		162.0		35.9		
859		junction		162.8		35.9		
86		junction		125.0		35.8		
860		junction		163.6		35.9		
861		junction		164.4		35.9		
862		junction		165.2		35.9		
863		junction		166.0		35.9		
864		junction		166.8		35.9		
865		junction		167.6		35.9		
866		junction		167.6		36.8		
867		junction		167.6		37.8		
868		junction		167.6		38.8		
869		junction		167.6		39.8		
870		junction		167.6		40.8		
871		junction		167.6		41.8		
872		junction		167.6		43.3		
875		junction		167.6		46.2		
876		junction		168.7		46.2		
877		junction		170.0		46.2		
878		junction		171.4		46.2		
879		junction		172.4		46.2		
880		junction		173.6		46.2		
881		junction		173.6		44.8		
882		junction		172.8		43.5		
883		junction		167.6		34.9		
884		junction		167.6		33.9		
885		junction		167.6		32.9		
886		junction		167.6		29.9		
887		junction		167.6		28.4		
888		junction		167.6		25.5		
889		junction		169.2		25.5		
890		junction		130.0		34.0		
891		junction		130.0		33.0		
892		junction		130.0		32.0		
893		junction		128.0		33.0		
894		junction		130.0		31.0		
895		junction		130.0		30.0		
896		junction		130.0		29.0		
897		junction		130.0		28.0		
9		storage 		128.0		60.9		
91		junction		117.0		45.0		
94		junction		118.8		62.0		
98		junction		130.0		47.0		
X16		hidden  		131.4		51.7		
X44		hidden  		129.1		52.0		
X75		hidden  		120.2		58.0		
XD10		hidden  		132.8		54.4		
XD17		hidden  		126.8		64.5		
XD25		hidden  		165.9		44.8		
XD27		hidden  		170.8		41.8		
XD28		hidden  		166.0		31.4		
XD29		hidden  		166.0		27.0		
XD30		hidden  		120.2		52.0		
XD37		hidden  		126.2		55.5		
XD42		hidden  		123.6		55.0		
XD43		hidden  		125.0		50.2		
XD47		hidden  		123.4		47.1		
XD507		hidden  		123.5		44.5		
XD515		hidden  		124.3		44.0		
XD521		hidden  		128.0		40.0		
XD523		hidden  		124.1		41.0		
XD541		hidden  		120.0		46.0		
XD55		hidden  		123.8		48.4		
XD57		hidden  		121.0		41.0		
XD602		hidden  		153.5		51.3		
XD605		hidden  		153.6		48.0		
XD606		hidden  		153.6		47.0		
XD616		hidden  		132.1		41.7		
XD624		hidden  		147.8		49.8		
XD634		hidden  		147.0		45.6		
XD64		hidden  		127.0		54.0		
XD643		hidden  		143.6		50.0		
XD645		hidden  		143.6		48.0		
XD647		hidden  		143.8		46.0		
XD649		hidden  		143.9		45.0		
XD653		hidden  		132.7		48.8		
XD659		hidden  		139.6		50.0		
XD66		hidden  		120.0		53.0		
XD662		hidden  		139.7		48.0		
XD664		hidden  		140.0		44.0		
XD670		hidden  		135.6		52.9		
XD672		hidden  		132.8		47.0		
XD688		hidden  		138.0		42.8		
XD689		hidden  		137.0		42.8		
XD693		hidden  		147.0		42.8		
XD694		hidden  		146.7		45.2		
XD699		hidden  		142.0		42.8		
XD701		hidden  		134.0		40.4		
XD702		hidden  		135.0		40.4		
XD703		hidden  		136.5		42.2		
XD714		hidden  		139.0		42.4		
XD715		hidden  		140.0		42.3		
XD721		hidden  		141.0		38.0		
XD722		hidden  		142.0		38.0		
XD723		hidden  		143.4		39.1		
XD730		hidden  		152.0		42.1		
XD731		hidden  		151.3		42.2		
XD732		hidden  		150.5		42.3		
XD733		hidden  		149.7		42.2		
XD74		hidden  		120.2		59.1		
XD742		hidden  		137.3		36.4		
XD743		hidden  		138.1		36.4		
XD744		hidden  		139.0		36.4		
XD745		hidden  		141.0		36.4		
XD746		hidden  		142.0		36.4		
XD747		hidden  		143.1		36.4		
XD748		hidden  		144.0		39.0		
XD749		hidden  		145.0		39.0		
XD750		hidden  		146.9		39.0		
XD751		hidden  		147.9		39.0		
XD752		hidden  		158.0		33.9		
XD753		hidden  		158.8		33.9		
XD754		hidden  		140.0		36.4		
XD755		hidden  		145.9		39.0		
XD76		hidden  		120.1		57.0		
XD77		hidden  		120.0		54.0		
XD8		hidden  		126.9		62.7		
XD803		hidden  		129.0		37.1		
XD804		hidden  		130.0		37.1		
XD827		hidden  		142.9		34.2		
XD832		hidden  		144.6		34.2		
XD833		hidden  		145.6		34.2		
XD834		hidden  		146.9		34.2		
XD835		hidden  		148.0		34.2		
XD841		hidden  		150.2		33.9		
XD842		hidden  		151.2		33.9		
XD843		hidden  		152.0		33.9		
XD844		hidden  		152.8		33.9		
XD847		hidden  		155.2		32.9		
XD848		hidden  		155.2		31.4		
XD849		hidden  		155.2		29.9		
XD85		hidden  		127.0		55.0		
XD850		hidden  		154.8		33.9		
XD852		hidden  		156.4		33.9		
XD853		hidden  		157.2		33.9		
XD857		hidden  		161.2		33.9		
XD860		hidden  		163.6		33.9		
XD861		hidden  		164.4		33.9		
XD862		hidden  		165.2		33.9		
XD863		hidden  		166.0		33.9		
XD867		hidden  		166.0		37.8		
XD868		hidden  		166.0		38.8		
XD869		hidden  		166.0		39.8		
XD870		hidden  		166.0		40.8		
XD871		hidden  		166.0		41.8		
XD872		hidden  		166.0		43.3		
XD875		hidden  		167.6		48.2		
XD876		hidden  		168.7		48.2		
XD877		hidden  		170.0		48.2		
XD878		hidden  		171.4		48.2		
XD879		hidden  		172.4		48.2		
XD880		hidden  		173.6		48.2		
XD881		hidden  		174.6		44.8		
XD882		hidden  		170.7		43.5		
XD884		hidden  		166.0		33.9		
XD885		hidden  		166.0		32.9		
XD886		hidden  		166.0		29.9		
XD887		hidden  		166.0		28.4		
XD888		hidden  		166.0		25.5		
XD889		hidden  		169.2		27.0		
XD890		hidden  		131.0		34.0		
XD894		hidden  		131.0		31.0		
XD895		hidden  		131.0		30.0		
XD896		hidden  		131.0		29.0		
XD897		hidden  		131.0		28.0		
XD9		hidden  		127.0		60.9		
XD91		hidden  		116.0		45.0		
XD94		hidden  		117.0		62.0		
XD98		hidden  		131.0		47.0		
XU1		hidden  		118.8		65.7		
XU10		hidden  		134.0		56.0		
XU100		hidden  		132.0		44.6		
XU17		hidden  		128.9		64.5		
XU18		hidden  		152.0		54.4		
XU20		hidden  		145.0		53.2		
XU3		hidden  		120.0		62.0		
XU30		hidden  		122.0		50.2		
XU31		hidden  		123.0		50.1		
XU32		hidden  		127.0		58.2		
XU39		hidden  		126.8		54.4		
XU4		hidden  		123.0		65.6		
XU43		hidden  		126.0		53.0		
XU507		hidden  		122.2		47.3		
XU515		hidden  		126.9		44.0		
XU52		hidden  		149.0		53.7		
XU521		hidden  		129.1		41.9		
XU523		hidden  		126.0		44.0		
XU53		hidden  		147.0		50.7		
XU55		hidden  		124.9		49.1		
XU6		hidden  		124.9		65.5		
XU607		hidden  		153.6		46.0		
XU608		hidden  		153.6		44.0		
XU61		hidden  		124.1		50.2		
XU612		hidden  		134.0		42.2		
XU613		hidden  		152.0		39.2		
XU614		hidden  		151.0		39.2		
XU615		hidden  		150.0		39.1		
XU622		hidden  		147.9		51.0		
XU626		hidden  		150.0		48.7		
XU628		hidden  		150.1		47.5		
XU632		hidden  		145.8		47.8		
XU635		hidden  		140.9		39.5		
XU637		hidden  		141.9		39.5		
XU638		hidden  		143.2		39.4		
XU639		hidden  		144.7		39.6		
XU640		hidden  		146.0		39.4		
XU642		hidden  		145.8		51.0		
XU644		hidden  		145.9		49.0		
XU646		hidden  		145.9		47.0		
XU647		hidden  		146.0		46.0		
XU648		hidden  		145.9		45.0		
XU652		hidden  		135.4		48.3		
XU653		hidden  		135.4		47.2		
XU655		hidden  		134.0		45.0		
XU657		hidden  		141.7		50.0		
XU660		hidden  		142.0		49.0		
XU663		hidden  		142.2		46.0		
XU665		hidden  		142.2		45.0		
XU674		hidden  		132.7		48.0		
XU684		hidden  		141.0		42.7		
XU685		hidden  		141.0		45.0		
XU686		hidden  		139.0		45.2		
XU687		hidden  		139.0		42.7		
XU691		hidden  		148.0		42.3		
XU692		hidden  		148.0		45.0		
XU695		hidden  		145.0		42.5		
XU696		hidden  		143.8		42.6		
XU697		hidden  		143.0		45.2		
XU698		hidden  		143.0		43.0		
XU7		hidden  		123.9		62.2		
XU72		hidden  		131.2		59.0		
XU73		hidden  		122.6		60.0		
XU74		hidden  		122.6		59.1		
XU75		hidden  		122.6		58.0		
XU76		hidden  		122.6		57.0		
XU77		hidden  		120.0		55.1		
XU8		hidden  		128.9		62.6		
XU81		hidden  		141.0		53.2		
XU83		hidden  		131.4		56.9		
XU84		hidden  		131.3		54.1		
XU859		hidden  		162.8		37.8		
XU9		hidden  		128.9		60.9		
XU94		hidden  		118.8		60.3		
XU98		hidden  		130.0		48.4		
