DTS ID,Module ID,Linked Variables,Section IDs,GUI Link,Threshold Link,Title
1,5,TRNTY_DP_STATUS_DTS/DTS-STATUS,ED|ST,102,1,NOD reservoir operations
2,,TRNTY_CAP_STATUS_DTS/DTS-STATUS,ST,102,2,
3,,TRNTY_RC_STATUS_DTS/DTS-STATUS,ST,102,3,
4,6,TRNTY_FLD_STATUS_DTS/DTS-STATUS,ED|ST,102,4,NOD reservoir operations
5,7,TRNTY_Spill_STATUS_DTS/DTS-STATUS,ED|ST,102,5,NOD reservoir operations
6,,ClrCkTnnl_CAP_STATUS_DTS/DTS-STATUS,ST,203,6,
7,,ClrCkTnnl_import_STATUS_DTS/DTS-STATUS,ST,203,7,
8,5,SHST_DP_STATUS_DTS/DTS-STATUS,ED|ST,112,8,NOD reservoir operations
9,,SHST_CAP_STATUS_DTS/DTS-STATUS,ST,112,9,
10,,SHST_RC_STATUS_DTS/DTS-STATUS,ST,112,10,
11,6,SHST_FLD_STATUS_DTS/DTS-STATUS,ED|ST,112,11,NOD reservoir operations
12,7,SHST_Spill_STATUS_DTS/DTS-STATUS,ED|ST,112,12,NOD reservoir operations
13,5,OROV_DP_STATUS_DTS/DTS-STATUS,ED|ST,107,13,NOD reservoir operations
14,,OROV_CAP_STATUS_DTS/DTS-STATUS,ST,115,14,
15,,OROV_RC_STATUS_DTS/DTS-STATUS,ST,107,15,
16,6,OROV_FLD_STATUS_DTS/DTS-STATUS,ED|ST,115,16,NOD reservoir operations
17,7,OROV_Spill_STATUS_DTS/DTS-STATUS,ED|ST,107,17,NOD reservoir operations
18,5,FLSM_DP_STATUS_DTS/DTS-STATUS,ED|ST,113,18,NOD reservoir operations
19,,FLSM_CAP_STATUS_DTS/DTS-STATUS,ST,104,19,
20,,FLSM_RC_STATUS_DTS/DTS-STATUS,ST,104,20,
21,6,FLSM_FLD_STATUS_DTS/DTS-STATUS,ED|ST,104,21,NOD reservoir operations
22,7,FLSM_Spill_STATUS_DTS/DTS-STATUS,ED|ST,104,22,NOD reservoir operations
23,,C203_MIF_STATUS_DTS/DTS-STATUS,ST,209,23,
24,,C9_MIF_STATUS_DTS/DTS-STATUS,ST,211,24,
25,,SLCVP_DP_STATUS_DTS/DTS-STATUS,ST,106,25,
26,,SLCVP_CAP_STATUS_DTS/DTS-STATUS,ST,106,26,
27,,SLCVP_RC_STATUS_DTS/DTS-STATUS,ST,106,27,
28,,SLSWP_DP_STATUS_DTS/DTS-STATUS,ST,108,29,
29,,SLSWP_CAP_STATUS_DTS/DTS-STATUS,ST,108,30,
30,,SLSWP_RC_STATUS_DTS/DTS-STATUS,ST,108,31,
31,,C100_DRY_STATUS_DTS/DTS-STATUS,ST,202,33,
32,,C100_CAP_STATUS_DTS/DTS-STATUS,ST,202,34,
33,8,C100_MIF_STATUS_DTS/DTS-STATUS,ED|ST,202,35,MIF
34,8,C3_MIF_STATUS_DTS/DTS-STATUS,ED|ST,204,36,MIF
35,8,C5_MIF_STATUS_DTS/DTS-STATUS,ED|ST,206,38,MIF
36,8,C112_MIF_STATUS_DTS/DTS-STATUS,ED|ST,207,40,MIF
37,8,C114_MIF_STATUS_DTS/DTS-STATUS,ED|ST,703,41,MIF
38,8,C129_MIF_STATUS_DTS/DTS-STATUS,ED|ST,208,42,MIF
39,8,C169_MIF_STATUS_DTS/DTS-STATUS,ED|ST,704,43,MIF
40,8,C200A_MIF_STATUS_DTS/DTS-STATUS,ED|ST,705,44,MIF
41,8,C203_MIF_STATUS_DTS/DTS-STATUS,ED|ST,209,45,MIF
42,8,C223_MIF_STATUS_DTS/DTS-STATUS,ED|ST,210,46,MIF
43,8,C9_MIF_STATUS_DTS/DTS-STATUS,ED|ST,211,47,MIF
44,8,C303_MIF_STATUS_DTS/DTS-STATUS,ED|ST,706,48,MIF
45,,C400_MIF_STATUS_DTS/DTS-STATUS,ST,214,49,
46,9,Sutter_Weirs_Op_DTS/DTS-STATUS,ED|ST,701,52,NOD Weirs
47,9,Yolo_Weirs_Op_DTS/DTS-STATUS,ED|ST,702,53,NOD Weirs
48,,Sutter_overflow_DTS/DTS-STATUS,ST,707,54,
49,,Moulton_Weir_DTS/DTS-STATUS,ST,708,55,
50,,Colusa_Weir_DTS/DTS-STATUS,ST,709,56,
51,,Tisdale_Weir_DTS/DTS-STATUS,ST,710,57,
52,,Fremont_Weir_DTS/DTS-STATUS,ST,212,58,
53,,Sacramento_Weir_DTS/DTS-STATUS,ST,213,59,
54,,GP60_MinPump_STATUS_DTS/DTS-STATUS,ST,711,60,
55,10,GP60_OverPump_STATUS_DTS/DTS-STATUS,ED|ST,711,61,NOD GW
56,,GP64_MinPump_STATUS_DTS/DTS-STATUS,ST,712,62,
57,10,GP64_OverPump_STATUS_DTS/DTS-STATUS,ED|ST,712,63,NOD GW
58,,GP65_MinPump_STATUS_DTS/DTS-STATUS,ST,713,64,
59,10,GP65_OverPump_STATUS_DTS/DTS-STATUS,ED|ST,713,65,NOD GW
60,,GP66_MinPump_STATUS_DTS/DTS-STATUS,ST,714,66,
61,10,GP66_OverPump_STATUS_DTS/DTS-STATUS,ED|ST,714,67,NOD GW
62,,CVP_EXP_CAP_STATUS_DTS/DTS-STATUS,ST,310,68,Jones Capacity
63,,CVP_EXP_HANDS_STATUS_DTS/DTS-STATUS,ST,310,69,Jones Health and Safety
64,11,CVP_EXP_EI_STATUS_DTS/DTS-STATUS,ED|ST,310,70,Jones Export-Inflow Ratio (D-1641)
65,,CVP_EXP_VERN_STATUS_DTS/DTS-STATUS,ST,310,71,Jones Vernalis 1:1 (D-1641)
66,,CVP_EXP_PRAS_STATUS_DTS/DTS-STATUS,ST,310,72,Jones BO RPAs
67,,CVP_EXP_OMR_STATUS_DTS/DTS-STATUS,ST,310,73,Jones OMR Flow Criteria (USFWS BO)
68,,SWP_EXP_CAP_STATUS_DTS/DTS-STATUS,ST,311,74,Banks Capacity
69,,SWP_EXP_CAP_CTRL_EXP_CAP_STATUS_DTS/DTS-STATUS,ST,311,74,
70,,SWP_EXP_HANDS_STATUS_DTS/DTS-STATUS,ST,311,75,Banks Health and Safety
71,11,SWP_EXP_EI_STATUS_DTS/DTS-STATUS,ED|ST,311,76,Banks Export-Inflow Ratio (D-1641)
72,,SWP_EXP_VERN_STATUS_DTS/DTS-STATUS,ST,311,77,Banks Vernalis 1:1 (D-1641)
73,,SWP_EXP_PRAS_STATUS_DTS/DTS-STATUS,ST,311,78,Banks BO RPAs
74,,SWP_EXP_OMR_STATUS_DTS/DTS-STATUS,ST,311,79,Banks OMR Flow Criteria (USFWS BO)
75,,SOD_EXP_HANDS_STATUS_DTS/DTS-STATUS,ST,312,80,
76,,SOD_EI_STATUS_DTS/DTS-STATUS,ST,312,81,
77,,SOD_EXP_VERN_STATUS_DTS/DTS-STATUS,ST,312,82,
78,,SOD_EXP_PRAS_STATUS_DTS/DTS-STATUS,ST,312,82,
79,11,SOD_EXP_OMR_STATUS_DTS/DTS-STATUS,ED|ST,303,84,Delta operations
80,11,SOD_EXP_SJRIE_STATUS_DTS/DTS-STATUS,ED|ST,312,85,Delta operations
81,,C405_MIF_STATUS_DTS/DTS-STATUS,ST,217,86,
82,,QWEST_STATUS_DTS/DTS-STATUS,ST,219,87,
83,,C408_LBOUND_DV,ST,218,88,
84,11,DCC_STATUS_DTS/DTS-STATUS,ED|ST,303,89,Delta operations
85,11,ANN_STATUS_DTS/DTS-STATUS,ED|ST,303,90,Delta operations
86,,JP_STATUS_DTS/DTS-STATUS,ST,303,91,
87,,EM_STATUS_DTS/DTS-STATUS,ST,303,92,
88,,RS_STATUS_DTS/DTS-STATUS,ST,303,93,
89,,CO_STATUS_DTS/DTS-STATUS,ST,303,94,
90,11,NDOI_STATUS_DTS/DTS-STATUS,ED|ST,303,95,Delta operations
91,11,SX2_STATUS_DTS/DTS-STATUS,ED|ST,303,96,Delta operations
92,11,FX2_STATUS_DTS/DTS-STATUS,ED|ST,303,97,Delta operations
93,11,RV_STATUS_DTS/DTS-STATUS,ED|ST,303,98,Delta operations
94,12,CVP_COA_P_DIFF_DTS/DTS-TEMP,ED|ST,715,99,coa
95,12,SWP_COA_P_DIFF_DTS/DTS-TEMP,ED|ST,716,100,coa
96,13,SHORT_CVP_STATUS_DTS/DTS-STATUS,ED|ST,888,101,Allocations and Deliveries
97,,SHORT_CVP_N_STATUS,ST,887,102,
98,,SHORT_CVP_S_STATUS,ST,886,103,
99,13,SHORT_SWP_STATUS_DTS/DTS-STATUS,ED|ST,863,105,Allocations and Deliveries
100,,SHORT_SWP_N_STATUS,ST,861,106,
101,,SHORT_SWP_S_STATUS,ST,862,107,
102,14,NOD_MB_STATUS_DTS/DTS-STATUS,ED|ST,,108,Mass balance
103,14,Delta_BAL_STATUS_DTS/DTS-STATUS,ED|ST,,109,Mass balance
104,14,SOD_BAL_STATUS_DTS/DTS-STATUS,ED|ST,,110,Mass balance
105,,TRNTY_chng_in_strge_DTS/STORAGE-CHANGE,ST,N/A,N/A,Trinity Annual Storage Change
106,,SHST_chng_in_strge_DTS/STORAGE-CHANGE,ST,N/A,N/A,Shasta Annual Storage Change
107,,FLSM_chng_in_strge_DTS/STORAGE-CHANGE,ST,N/A,N/A,Folsom Annual Storage Change
