qwest
month	wyt	QWESTstd
1	1	-99999
2	1	-99999
3	1	-99999
4	1	-99999
5	1	-99999
6	1	-99999
7	1	-99999
8	1	-99999
9	1	-99999
10	1	-99999
11	1	-99999
12	1	-99999
1	2	-99999
2	2	-99999
3	2	-99999
4	2	-99999
5	2	-99999
6	2	-99999
7	2	-99999
8	2	-99999
9	2	-99999
10	2	-99999
11	2	-99999
12	2	-99999
1	3	-99999
2	3	-99999
3	3	-99999
4	3	-99999
5	3	-99999
6	3	-99999
7	3	-99999
8	3	-99999
9	3	-99999
10	3	-99999
11	3	-99999
12	3	-99999
1	4	-99999
2	4	-99999
3	4	-99999
4	4	-99999
5	4	-99999
6	4	-99999
7	4	-99999
8	4	-99999
9	4	-99999
10	4	-99999
11	4	-99999
12	4	-99999
1	5	-99999
2	5	-99999
3	5	-99999
4	5	-99999
5	5	-99999
6	5	-99999
7	5	-99999
8	5	-99999
9	5	-99999
10	5	-99999
11	5	-99999
12	5	-99999


