Module ID,Linked Variables,Section IDs,GUI Link,Threshold Link
5,TRNTY_DP_STATUS_DTS,ED|ST,102,1
,TRNTY_CAP_STATUS_DTS,ST,102,2
,TRNTY_RC_STATUS_DTS,ST,102,3
6,TRNTY_FLD_STATUS_DTS,ED|ST,102,4
7,TRNTY_Spill_STATUS_DTS,ED|ST,102,5
,ClrCkTnnl_CAP_STATUS_DTS,ST,203,6
,ClrCkTnnl_import_STATUS_DTS,ST,203,7
5,SHST_DP_STATUS_DTS,ED|ST,112,8
,SHST_CAP_STATUS_DTS,ST,112,9
,SHST_RC_STATUS_DTS,ST,112,10
6,SHST_FLD_STATUS_DTS,ED|ST,112,11
7,SHST_Spill_STATUS_DTS,ED|ST,112,12
5,OROV_DP_STATUS_DTS,ED|ST,107,13
,OROV_CAP_STATUS_DTS,ST,115,14
,OROV_RC_STATUS_DTS,ST,104,15
6,OROV_FLD_STATUS_DTS,ED|ST,115,16
7,OROV_Spill_STATUS_DTS,ED|ST,107,17
5,FLSM_DP_STATUS_DTS,ED|ST,113,18
,FLSM_CAP_STATUS_DTS,ST,104,19
,FLSM_RC_STATUS_DTS,ST,107,20
6,FLSM_FLD_STATUS_DTS,ED|ST,104,21
7,FLSM_Spill_STATUS_DTS,ED|ST,104,22
,C203_MIF_STATUS_DTS,ST,209,23
,C9_MIF_STATUS_DTS,ST,211,24
,SLCVP_DP_STATUS_DTS,ST,106,25
,SLCVP_CAP_STATUS_DTS,ST,106,26
,SLCVP_RC_STATUS_DTS,ST,106,27
,SLSWP_DP_STATUS_DTS,ST,108,29
,SLSWP_CAP_STATUS_DTS,ST,108,30
,SLSWP_RC_STATUS_DTS,ST,108,31
,C100_DRY_STATUS_DTS,ST,202,33
,C100_CAP_STATUS_DTS,ST,202,34
8,C100_MIF_STATUS_DTS,ED|ST,202,35
8,C3_MIF_STATUS_DTS,ED|ST,204,36
8,C5_MIF_STATUS_DTS,ED|ST,206,38
8,C112_MIF_STATUS_DTS,ED|ST,207,40
8,C114_MIF_STATUS_DTS,ED|ST,703,41
8,C129_MIF_STATUS_DTS,ED|ST,208,42
8,C169_MIF_STATUS_DTS,ED|ST,704,43
8,C200A_MIF_STATUS_DTS,ED|ST,705,44
8,C203_MIF_STATUS_DTS,ED|ST,209,45
8,C223_MIF_STATUS_DTS,ED|ST,210,46
8,C9_MIF_STATUS_DTS,ED|ST,211,47
8,C303_MIF_STATUS_DTS,ED|ST,706,48
,C400_MIF_STATUS_DTS,ST,214,49
9,Sutter_Weirs_Op_DTS,ED|ST,701,52
9,Yolo_Weirs_Op_DTS,ED|ST,702,53
,Sutter_overflow_DTS,ST,707,54
,Moulton_Weir_DTS,ST,708,55
,Colusa_Weir_DTS,ST,709,56
,Tisdale_Weir_DTS,ST,710,57
,Freemont_Weir_DTS,ST,212,58
,Sacramento_Weir_DTS,ST,213,59
,GP60_MinPump_STATUS_DTS,ST,711,60
10,GP60_OverPump_STATUS_DTS,ED|ST,711,61
,GP64_MinPump_STATUS_DTS,ST,712,62
10,GP64_OverPump_STATUS_DTS,ED|ST,712,63
,GP65_MinPump_STATUS_DTS,ST,713,64
10,GP65_OverPump_STATUS_DTS,ED|ST,713,65
,GP66_MinPump_STATUS_DTS,ST,714,66
10,GP66_OverPump_STATUS_DTS,ED|ST,714,67
,CVP_EXP_CAP_STATUS_DTS,ST,310,68
,CVP_EXP_HANDS_STATUS_DTS,ST,310,69
11,EI_STATUS_DTS,ED|ST,310,70
,CVP_EXP_VERN_STATUS_DTS,ST,310,71
,CVP_EXP_PRAS_STATUS_DTS,ST,310,72
,CVP_EXP_OMR_STATUS_DTS,ST,310,73
,SWP_EXP_CAP_STATUS_DTS,ST,311,74
,SWP_EXP_CAP_CTRL_EXP_CAP_STATUS_DTS,ST,311,74
,SWP_EXP_HANDS_STATUS_DTS,ST,311,75
11,EI_STATUS_DTS,ED|ST,311,76
,SWP_EXP_VERN_STATUS_DTS,ST,311,77
,SWP_EXP_PRAS_STATUS_DTS,ST,311,78
,SWP_EXP_OMR_STATUS_DTS,ST,311,79
,SOD_EXP_HANDS_STATUS_DTS,ST,312,80
,SOD_EI_STATUS_DTS,ST,312,81
,SOD_EXP_VERN_STATUS_DTS,ST,312,82
,SOD_EXP_PRAS_STATUS_DTS,ST,312,82
11,OMR_STATUS_DTS,ED|ST,303,84
11,SJRIE_STATUS_DTS,ED|ST,312,85
,C405_MIF_STATUS_DTS,ST,217,86
,QWEST_STATUS_DTS,ST,219,87
,C408_LBOUND_DV,ST,218,88
11,DCC_STATUS_DTS,ED|ST,303,89
11,ANN_STATUS_DTS,ED|ST,303,90
,JP_STATUS_DTS,ST,303,91
,EM_STATUS_DTS,ST,303,92
,RS_STATUS_DTS,ST,303,93
,CO_STATUS,ST,303,94
11,NDOI_STATUS_DTS,ED|ST,303,95
11,SX2_STATUS_DTS,ED|ST,303,96
11,FX2_STATUS_DTS,ED|ST,303,97
11,RV_STATUS_DTS,ED|ST,303,98
12,CVP_COA_P_diff,ED|ST,715,99
12,SWP_COA_P_diff,ED|ST,716,100
13,SHORT_CVP_STATUS_DTS,ED|ST,888,101
,SHORT_CVP_N_STATUS,ST,887,102
,SHORT_CVP_S_STATUS,ST,886,103
13,SHORT_SWP_STATUS_DTS,ED|ST,863,105
,SHORT_SWP_N_STATUS,ST,861,106
,SHORT_SWP_S_STATUS,ST,862,107
14,NOD_MB_STATUS_DTS,ED|ST,N/A,108
14,Delta_MB_STATUS_DTS,ED|ST,N/A,109
14,SOD_MB_STATUS_DTS,ED|ST,N/A,110
